Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
golden passport,22200,33100,22200,22200,18100,18100,18100,14800,18100,18100,18100,18100,18100,-45,0.22,3.46,32
eu golden visa,22200,22200,14800,18100,18100,9900,18100,14800,40500,49500,33100,27100,18100,-18,0.09,2.18,49
golden residency,18100,14800,14800,14800,18100,18100,18100,14800,14800,14800,18100,18100,18100,22,0.09,1.86,4
portugalgolden visa,12100,18100,18100,18100,12100,9900,9900,8100,9900,8100,8100,6600,9900,-45,0.85,4.61,57
visa golden,12100,14800,14800,12100,12100,9900,12100,12100,14800,14800,12100,9900,9900,-33,0.44,3.83,18
golden visa program,5400,2900,2900,1900,2400,4400,2900,2900,12100,8100,3600,12100,5400,86,0.07,1.59,33
visa by investment,4400,5400,6600,4400,3600,3600,5400,4400,4400,3600,3600,2400,2900,-46,0.89,5.00,14
golden visa application,3600,9900,5400,4400,2900,2400,2400,2400,2900,2900,2400,3600,4400,-56,0.60,5.53,32
golden visa scheme,2900,210,390,8100,9900,4400,1000,210,1600,2400,2900,4400,1600,662,0.05,0.30,19
spanish citizenship by investment,2400,1900,2900,2400,3600,3600,5400,880,1900,1000,1000,1000,1300,-32,0.23,2.02,23
cheapest eu golden visa,1600,2900,1600,1600,2400,1900,880,720,1000,1000,1300,1300,1000,-66,0.32,2.08,45
cheapest golden visa eu,1600,2900,1600,1600,2400,1900,880,720,1000,1000,1300,1300,1000,-66,0.32,2.08,45
portuguese residency by investment,1300,1600,1900,1300,880,1000,1300,1000,1300,1000,1000,880,880,-45,0.57,4.44,38
best golden visa programs,1000,480,480,390,1600,1900,390,320,880,1000,1300,3600,1600,233,0.05,0.84,53
golden visa investment,1000,390,170,260,590,320,590,260,4400,2400,1900,210,140,-64,0.25,4.46,28
eu golden visa programs,1000,590,590,1000,1900,1000,480,390,1600,1900,880,1900,1600,171,0.08,1.69,57
golden visa cost,880,880,1600,1000,880,1000,1000,880,1300,480,720,480,720,-18,0.36,3.22,33
golden citizenship,720,880,880,720,720,720,1000,720,720,720,720,590,720,-18,0.52,3.23,87
golden visa price,720,590,1600,1000,720,880,720,590,480,390,480,390,390,-34,0.50,2.88,25
portugal passport by investment,590,880,590,480,590,590,480,390,590,590,480,480,590,-33,0.49,4.08,48
portuguese passport by investment,590,880,590,480,590,590,480,390,590,590,480,480,590,-33,0.49,4.08,48
get golden visa,590,880,590,1900,480,480,390,320,590,590,390,720,480,-45,1.18,11.63,32
apply for golden visa,590,210,210,260,480,480,260,1900,1300,590,480,210,170,-19,1.60,16.92,67
eu residency by investment,590,590,1000,480,390,480,480,390,480,480,590,480,590,0,0.48,3.35,31
european residency by investment,590,590,1000,480,390,480,480,390,480,480,590,480,590,0,0.48,3.35,31
golden visa citizenship,590,720,1000,1600,2400,90,170,90,70,70,40,20,30,-96,0.22,5.00,46
eu residence by investment,590,590,1000,480,390,480,480,390,480,480,590,480,590,0,0.48,3.35,31
golden visa property,590,720,720,1000,480,720,480,390,480,390,390,480,390,-46,0.81,5.01,46
property golden visa,590,720,720,1000,480,720,480,390,480,390,390,480,390,-46,0.81,5.01,46
cheapest golden visa,480,880,880,720,390,480,590,590,390,320,320,260,260,-70,0.50,3.79,32
spanish residency by investment,480,590,720,480,390,390,480,390,590,390,390,390,480,-19,0.30,2.31,34
portuguese golden visa cost,480,880,590,720,390,480,480,390,480,390,590,390,390,-56,0.48,3.50,41
eu investment visa,480,720,880,590,480,480,590,390,390,390,480,480,480,-33,0.28,3.42,34
european investment visa,480,720,880,590,480,480,590,390,390,390,480,480,480,-33,0.28,3.42,34
portuguese citizenship by investment,390,720,720,480,390,390,390,320,390,320,390,260,390,-46,1.10,3.85,22
best golden visa,390,720,320,260,210,210,260,210,260,1900,140,140,170,-76,0.40,3.35,42
golden visa services,390,390,480,390,320,320,590,390,320,320,260,260,320,-18,1.60,13.77,25
amer golden visa,390,390,720,480,390,590,480,320,260,260,260,260,260,-33,0.46,3.76,44
sef golden visa,390,20,20,720,2400,720,320,30,30,40,210,40,260,1200,0.11,2.60,29
golden visa eid,390,260,320,390,480,480,480,390,590,390,320,590,390,50,1.37,1.90,1
gdrfa golden visa,320,390,390,320,320,260,320,320,170,260,210,260,320,-18,1.05,3.02,20
icp golden visa,320,320,320,390,320,320,320,320,170,320,320,260,260,-19,1.00,2.41,17
real estate investment visa,320,70,140,390,110,140,110,90,110,110,50,50,1900,2614,0.06,0.45,25
property investment visa,320,70,140,390,110,140,110,90,110,110,50,50,1900,2614,0.06,0.45,25
european passport by investment,260,260,390,260,210,210,210,170,260,210,210,210,210,-19,0.60,2.79,45
eu passport by investment,260,260,390,260,210,210,210,170,260,210,210,210,210,-19,0.60,2.79,45
golden visa for doctors,260,70,170,90,70,70,70,50,50,40,40,2400,50,-29,0.70,3.12,35
dld golden visa,260,260,260,320,260,260,320,210,170,260,170,260,170,-35,1.04,5.93,52
golden visa for entrepreneurs,260,50,110,20,20,40,30,10,20,40,1300,1000,70,40,0.15,2.01,48
real estate golden visa,210,480,1000,390,140,70,70,40,50,50,30,50,110,-77,0.17,1.98,63
golden immigration,210,260,210,210,210,170,210,210,170,210,210,260,320,23,0.07,9.65,11
golden visa for students,170,170,210,210,210,140,170,140,110,140,170,170,140,-18,0.67,1.68,37
golden visa real estate,170,140,210,140,720,140,110,110,90,90,50,110,50,-64,0.92,5.52,41
10 year golden visa,170,320,260,320,210,210,260,210,140,90,90,140,110,-66,1.29,3.56,26
canadian investors visa,170,260,260,210,140,140,260,140,140,140,140,140,140,-46,0.41,2.31,34
the golden visa,140,210,320,140,110,170,140,90,90,70,110,90,70,-67,1.08,3.29,28
schengen golden visa,140,210,170,210,140,140,110,110,90,110,110,140,90,-57,0.48,3.30,42
greek passport by investment,140,170,140,110,210,140,140,110,170,170,140,140,210,24,0.21,5.80,50
golden passport eu,140,170,140,260,140,110,140,110,110,110,90,90,70,-59,0.71,3.96,58
golden gate global eb5,140,170,210,170,140,110,170,170,110,170,170,140,110,-35,6.04,23.56,69
russian golden visa,140,110,110,110,140,320,140,170,140,140,170,90,90,-18,0.83,2.25,9
esaad golden visa,140,170,170,170,140,170,170,170,210,110,140,90,90,-47,0.00,0.00,2
russian golden visas,140,110,110,110,140,320,140,170,140,140,170,90,90,-18,0.83,2.25,9
spanish passport by investment,110,140,90,90,90,90,90,70,90,110,110,90,140,0,0.39,1.58,33
georgia golden visa,110,110,110,110,70,110,110,70,90,90,140,110,110,0,0.30,2.14,38
eu citizenship through investment,110,110,70,260,90,40,50,20,210,480,30,40,40,-64,0.47,2.80,49
golden visa reddit,110,110,170,140,110,110,170,110,110,110,90,110,70,-36,0.00,0.00,0
spanish golden visa program,90,390,210,70,40,30,50,50,50,30,30,20,20,-95,0.26,3.00,38
golden visa apply,90,90,90,90,90,110,110,110,90,110,70,110,90,0,1.97,13.96,43
