Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
golden visa portugal,12100,18100,18100,18100,12100,9900,9900,8100,9900,8100,8100,6600,9900,-45,0.85,4.61,57
portuguese golden visas,12100,18100,18100,18100,12100,9900,9900,8100,9900,8100,8100,6600,9900,-45,0.85,4.61,57
portugal golden visa requirements,8100,8100,6600,8100,6600,6600,6600,5400,6600,6600,9900,8100,12100,49,0.55,2.93,53
portugal job seeker visa,8100,22200,9900,8100,8100,6600,8100,5400,5400,4400,4400,4400,5400,-76,0.15,1.30,10
job seeker visa portugal,6600,22200,12100,8100,6600,5400,5400,2900,2900,2900,2400,2900,2900,-87,0.09,0.85,13
portugal golden visa program,3600,9900,5400,4400,2900,2400,2400,2400,2900,2900,2400,3600,4400,-56,0.60,5.53,32
permanent residency in portugal,2400,2900,2900,2900,2900,2400,2900,1900,1900,2400,2900,1900,1900,-34,0.35,2.19,16
portugal residence,1600,1600,1600,2400,1600,1300,1600,1300,1600,1900,1600,1300,1600,0,0.48,2.25,24
portuguese residence,1600,1600,1600,2400,1600,1300,1600,1300,1600,1900,1600,1300,1600,0,0.48,2.25,24
portuguese residence permit,1300,1900,1900,1900,1600,1300,1300,1000,1000,1300,1300,880,880,-54,0.35,2.40,20
portugal residence visa,880,1300,1300,1000,880,720,1000,720,880,720,720,590,590,-55,0.30,2.20,21
portuguese residence card,590,720,590,590,590,480,480,480,480,480,590,390,480,-33,0.87,3.73,2
portugal trc card,590,720,720,880,590,480,590,480,590,590,590,480,480,-33,0.26,3.70,1
portugal golden visa cost,480,880,590,720,390,480,480,390,480,390,590,390,390,-56,0.48,3.50,41
portugal temporary residence permit,480,590,720,720,480,390,590,390,390,320,390,320,320,-46,0.56,2.04,9
portugal job seeker visa official website,480,1300,720,480,480,390,480,260,390,320,260,210,260,-80,0.14,0.94,14
portugal golden visa to citizenship,390,1300,480,590,1000,320,70,70,70,50,170,170,260,-80,0.42,2.50,42
portugal golden visa official website,320,720,480,390,320,320,260,170,210,170,170,170,90,-88,1.06,5.42,51
portugal resident card,320,480,320,390,390,320,320,260,320,320,320,260,320,-33,0.05,1.58,4
portugal trc card processing time,320,480,390,480,390,390,320,260,320,320,260,260,260,-46,0.09,1.44,4
trc card portugal,320,390,390,390,320,320,320,210,260,320,320,320,320,-18,0.00,0.00,1
portugal golden visa investment,260,390,260,390,110,140,170,210,210,210,170,480,260,-33,0.40,3.68,30
portugal temporary stay visa,260,320,260,260,210,210,210,210,260,210,260,260,210,-34,0.19,3.91,5
temporary stay visa portugal,260,320,260,260,210,210,210,210,260,210,260,260,210,-34,0.19,3.91,5
portugal trc card benefits,260,320,260,390,320,320,320,260,210,210,170,170,140,-56,0.00,0.00,1
get golden visa portugal,210,170,30,1000,390,590,70,20,20,10,20,10,10,-94,2.36,15.83,51
portugal golden visa price,210,210,140,320,260,390,390,170,170,140,140,170,90,-57,0.50,3.55,43
job seeker visa in portugal,210,590,320,260,210,170,210,110,140,140,110,110,110,-81,0.09,1.36,17
permanent resident portugal,210,210,170,140,170,140,210,260,170,210,260,210,210,0,0.14,1.19,4
blue card portugal,210,260,210,320,260,210,260,170,170,170,170,170,170,-35,0.38,2.61,5
portugal golden visa 350000,210,10,20,50,40,590,10,10,10,10,210,260,1600,15900,0.48,3.89,0
trc card in portugal,210,210,260,260,260,210,210,170,140,140,170,110,90,-57,0.00,0.00,1
portugal golden residence permit program,170,390,320,170,110,110,210,110,140,210,170,140,110,-72,1.81,4.15,11
portugal golden visa citizenship,170,210,260,480,140,140,110,90,90,110,110,70,70,-67,0.55,3.64,54
portugal permanent residence card,170,260,260,260,210,170,210,140,140,110,210,110,90,-65,0.56,1.41,4
eu long term residence permit portugal,170,140,110,210,210,210,140,70,70,90,320,140,140,0,0.23,1.53,9
portugal job seeker visa apply online,140,320,170,170,140,170,140,70,40,70,70,40,50,-84,0.00,0.00,1
portugal golden visa benefits,140,140,110,210,110,170,140,110,260,140,70,90,70,-50,0.88,3.53,39
portugal citizenship golden visa,140,390,480,210,170,70,70,70,110,50,50,40,30,-92,0.80,3.95,62
portugal golden visa processing time,140,260,210,170,110,210,210,90,110,70,90,50,40,-85,2.20,6.27,36
golden visa portugal benefits,140,140,110,210,110,170,140,110,260,140,70,90,70,-50,0.88,3.53,39
job seeker visa for portugal,140,390,260,170,110,90,140,70,70,50,90,70,70,-82,0.12,1.40,13
eu blue card portugal,140,210,170,210,170,140,110,110,110,110,140,110,110,-48,0.46,1.55,2
portugal's golden visa program,110,140,140,110,170,260,110,70,70,50,50,50,70,-50,1.40,5.80,65
portugal golden visa investment options,110,170,170,260,170,90,70,70,70,70,70,70,50,-71,0.95,5.68,18
residency in portugal for non eu citizens,110,140,140,110,90,90,90,70,70,90,140,110,50,-64,0.55,1.69,36
portugal residency card,110,50,90,140,110,90,90,90,110,140,140,90,110,120,0.19,1.96,3
job seeker visa portugal apply online,90,320,210,210,170,50,50,20,40,30,30,10,10,-97,0.00,0.00,14
portugal investment visa requirements,90,210,170,70,90,90,70,50,70,70,70,50,50,-76,0.88,4.45,48
portugal residence permit requirements,70,90,90,90,90,50,40,50,30,40,50,40,50,-44,0.28,2.25,29
golden visa portugal investment,70,50,90,480,90,50,20,40,20,20,10,10,10,-80,0.42,5.06,48
portugal golden visa by investment,70,170,90,110,50,50,70,70,50,70,40,50,50,-71,0.71,5.71,34
permanent residence permit portugal,70,110,70,90,70,70,70,40,70,70,70,50,40,-64,0.00,0.00,3
5 year residence card portugal,70,110,70,90,110,70,70,50,50,70,90,50,50,-55,0.00,0.00,1
portugal job seeker visa apply,70,170,70,50,40,40,50,50,50,70,50,70,90,-47,0.07,0.92,16
portugal residence permit card,70,70,90,110,70,50,70,90,140,90,110,50,50,-29,0.00,0.00,1
portugal golden visa rules,50,70,70,90,40,90,50,50,40,40,40,40,30,-57,1.02,3.43,52
golden visa program in portugal,50,140,90,110,30,70,40,40,70,40,10,10,10,-93,0.22,4.15,67
portugal golden visa india,50,10,10,10,20,10,10,10,10,10,50,260,260,2500,0.00,0.00,0
golden visa of portugal,50,70,30,170,40,50,40,30,20,30,30,30,20,-71,0.44,5.72,47
cost of portugal golden visa,50,70,40,90,40,50,50,30,50,40,40,30,10,-86,1.01,3.36,54
apply for portugal golden visa,50,50,140,90,50,20,20,70,50,30,10,10,10,-80,2.78,12.83,40
portugal golden visa for indian,50,170,90,70,50,10,10,20,30,50,50,10,50,-71,0.29,3.54,33
portugal trc card requirements,50,70,70,90,70,70,40,40,20,30,40,30,20,-71,0.00,0.00,1
portugal temporary residence card,50,70,40,70,90,40,50,40,50,40,40,30,40,-43,0.00,0.00,0
permanent resident visa portugal,50,90,70,50,40,40,70,50,50,50,40,40,30,-67,0.35,2.46,30
article 15 residence card portugal,50,70,110,70,40,20,70,40,50,40,40,20,30,-57,0.00,0.00,0
permanent residence card portugal,50,90,70,70,40,50,40,30,20,40,70,30,30,-67,0.00,0.00,1
the golden visa portugal,40,20,20,210,10,40,20,10,10,20,20,20,10,-50,1.00,3.81,65
portugal golden visa process,40,50,40,50,50,70,30,40,10,50,20,20,30,-40,0.71,6.13,14
golden visa portugal citizenship,40,30,50,260,10,40,20,10,40,20,20,10,10,-67,0.00,0.00,11
portugal residency visa requirements,40,70,50,50,50,40,50,40,40,30,30,20,30,-57,0.84,2.33,22
residence visa for portugal,40,40,40,110,40,20,40,40,30,30,30,20,20,-50,0.42,2.98,45
portugal residence visa requirements,40,70,50,50,50,40,50,40,40,30,30,20,30,-57,0.84,2.33,22
apply for portugal job seeker visa,40,110,70,30,40,20,50,20,20,20,20,40,20,-82,0.12,0.39,23
portugal golden visa card,40,50,40,50,50,30,50,40,50,20,40,50,30,-40,0.68,4.53,11
portugal new residence card,40,10,10,20,10,20,20,10,30,50,90,90,140,1300,0.00,0.00,0
portugal trc benefits,40,50,50,50,40,20,40,30,30,50,30,20,20,-60,0.00,0.00,0
residence permit number portugal,40,20,50,50,50,30,40,30,30,40,20,40,30,50,0.00,0.00,1
portugal golden visa south africa,30,10,10,20,10,10,30,30,210,20,40,10,30,200,0.00,0.00,9
portugal residence permit by investment,30,40,50,30,30,30,20,20,70,20,20,20,10,-75,0.00,0.00,27
portugal golden visa minimum investment,30,90,50,30,20,20,20,20,20,30,20,20,20,-78,1.07,4.90,30
portugal cultural golden visa,30,40,70,50,20,10,40,20,30,10,10,30,30,-25,1.91,11.63,25
portugal temporary residence permit benefits,30,70,50,30,30,40,40,20,30,20,20,20,20,-71,0.00,0.00,7
temporary residence permit portugal for non eu citizens,30,50,50,50,40,20,30,20,10,20,30,10,10,-80,0.00,0.00,7
portugal resident visa requirements,30,40,30,40,30,20,30,30,30,30,20,20,30,-25,0.09,2.05,42
portugal golden residence permit,30,50,70,40,30,30,20,20,10,10,10,10,10,-80,0.44,2.85,51
portugal golden visa permanent residence,30,30,20,40,40,20,20,20,70,20,40,20,10,-67,3.43,8.47,49
portugal golden visa 280 000,30,10,20,40,10,70,10,10,10,10,20,20,110,1000,0.27,2.21,0
portugal temporary residence permit requirements,30,30,40,40,30,20,30,20,20,20,20,20,10,-67,0.00,0.00,16
residence certificate portugal,30,40,30,40,40,30,30,20,20,30,40,20,20,-50,0.00,0.00,4
eu family member residence card portugal,30,20,20,40,30,30,30,40,20,30,40,20,30,50,0.00,0.00,5
portugal eu blue card,30,40,30,30,40,30,40,30,20,30,20,20,20,-50,0.00,0.00,7
portugal job seeker visa how to apply,30,90,40,30,10,40,10,10,10,10,30,20,10,-89,0.00,0.00,7
portugal permit,30,50,50,40,30,20,30,10,30,20,30,50,30,-40,0.04,0.60,7
golden visa investment portugal,20,20,20,50,20,20,20,30,20,20,20,20,20,0,0.00,0.00,10
portugal golden visa options,20,30,20,30,10,20,20,20,20,10,10,10,20,-33,0.86,4.14,68
benefits of portugal golden visa,20,30,20,40,40,20,20,20,30,20,20,10,10,-67,1.06,3.20,57
residence permit portugal for non eu citizens,20,30,40,20,20,20,30,20,20,20,10,10,10,-67,0.40,0.57,24
minimum investment for portugal golden visa,20,30,30,20,10,30,10,10,10,10,10,10,10,-67,0.00,0.00,46
portugal residence card benefits,20,10,20,30,30,30,20,20,10,20,20,20,20,100,0.00,0.00,2
portugal golden visa business investment,20,20,10,10,10,30,10,10,30,10,20,10,20,0,0.00,0.00,1
portugal golden residency,20,30,30,20,30,20,50,20,20,20,10,10,10,-67,1.36,4.38,73
golden residence portugal,20,30,30,20,30,20,50,20,20,20,10,10,10,-67,1.36,4.38,73
portugal golden visa citizenship requirements,20,30,20,30,40,40,10,10,20,10,10,10,10,-67,0.00,0.00,36
eu residence card portugal,20,10,20,40,20,30,30,10,20,30,30,20,10,0,0.00,0.00,0
portugal golden visa 2021,20,40,10,20,10,0,10,20,70,10,20,10,10,-75,0.00,0.00,0
portugal new job seeker visa,20,10,10,20,40,70,50,20,10,10,20,20,10,0,0.00,0.00,5
portugal trc process,20,20,20,20,10,30,30,20,20,20,20,20,20,0,0.00,0.00,4
residence card in portugal,20,30,20,20,10,10,20,10,10,10,20,10,10,-67,0.00,0.00,24
temporary residence card portugal,20,20,30,30,20,20,30,10,20,10,20,10,30,50,0.00,0.00,1
temporary residence in portugal,20,30,20,30,10,10,20,10,10,10,10,10,10,-67,0.00,0.00,13
portugal golden visa 2022,10,30,20,10,10,10,10,10,10,10,10,10,10,-67,0.00,0.00,21
portugal golden visa 2023,10,10,10,10,10,0,10,10,0,10,10,10,10,0,0.00,0.00,43
golden visa portugal 2022,10,20,20,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
portugal golden visa 2022 official website,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0.00,0.00,0
portugal immigration golden visa,10,30,20,20,10,20,10,10,10,10,10,10,10,-67,0.00,0.00,57
portugal golden visa hotel investment,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
portugal golden visa program 2022,10,0,10,0,10,0,0,0,0,10,10,0,0,0,0.00,0.00,0
investment in portugal for golden visa,10,20,10,10,10,10,20,10,10,10,10,10,10,-50,1.85,6.99,19
portugal job seeker visa 2022,10,10,0,0,0,10,0,10,10,10,10,10,10,0,0.00,0.00,0
portugal job seeker visa 2022 apply online,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
portugal golden visa requirements 2022,10,10,10,0,10,0,10,10,10,10,10,0,0,0,0.00,0.00,0
golden visa algarve,10,20,10,10,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,26
algarve golden visa,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,71
portugal golden visa law firm,10,10,10,10,10,10,10,10,10,10,10,20,10,0,1.85,24.19,52
sef portugal golden visa,10,10,0,0,10,10,10,0,10,0,0,0,0,0,0.00,0.00,0
portugal investment visa 2022,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
portugal golden visa houses for sale,10,10,10,0,10,10,10,10,10,10,0,0,10,0,0.00,0.00,43
benefits of golden visa portugal,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
portugal new golden visa rules,10,10,10,20,20,30,10,10,10,10,20,10,10,0,1.90,4.96,54
portugal golden visa 280k,10,10,10,30,10,10,10,10,10,20,10,10,10,0,0.00,0.00,48
job seeker visa portugal 2022,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0.00,0.00,0
portugal golden visa passport,10,20,10,20,10,10,10,20,20,10,10,10,10,-50,0.00,0.00,33
residence visa in portugal,10,20,10,20,10,10,20,10,10,20,10,10,10,-50,0.00,0.00,40
portugal golden visa family,10,20,20,20,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
golden visa portugal official website,10,20,10,10,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,36
portugal golden visa madeira,10,10,10,10,0,10,10,10,10,10,0,10,10,0,0.00,0.00,71
new golden visa rules portugal,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
portugal investment visa official website,10,10,10,10,10,10,0,0,0,10,10,10,10,0,0.00,0.00,43
portugal golden visa government website,10,30,20,20,10,10,10,10,10,10,10,10,10,-67,0.77,9.11,32
golden visa portugal lisbon,10,0,10,10,10,10,10,10,10,0,10,0,10,0,0.00,0.00,57
portugal golden visa henley,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0.00,0.00,71
portugal golden visa lisbon,10,0,10,0,10,10,10,10,10,10,30,10,10,0,0.00,0.00,0
portugal golden visa for eu citizens,10,10,10,10,10,10,10,10,10,10,0,10,10,0,0.00,0.00,64
