Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
внж ес за инвестиции,30,10,10,10,10,10,50,30,110,20,20,20,10,0,0.23,1.08,24
гражданство за инвестиции в недвижимость,20,20,20,30,30,20,30,10,10,10,30,30,10,-50,0.00,0.00,8
вид на жительство за инвестиции,20,20,20,10,20,10,20,20,50,20,30,10,20,0,0.00,0.00,8
внж инвестиции,20,10,10,10,40,30,30,10,10,10,10,10,20,100,0.42,1.06,13
внж через инвестиции,20,20,20,20,20,10,20,10,10,20,10,10,20,0,0.00,0.00,10
гражданство кипра при покупке недвижимости,20,30,70,40,20,10,10,10,10,10,10,10,10,-67,0.00,0.00,0
внж за инвестиции 2022,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0.00,0.00,0
вид на жительство через инвестиции,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
внж ес на основании финансовой независимости,10,10,10,10,10,0,10,10,90,10,10,10,10,0,0.00,0.00,1
внж по инвестициям,10,10,20,10,10,10,10,10,20,20,10,10,20,100,0.00,0.00,10
гражданство кипра при покупке недвижимости 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
