Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
citizenship by investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.38,2.73,36
citizenship by investments,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.38,2.72,36
citizenship via investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.38,2.72,36
citizenship by investment in malta,6600,9900,8100,6600,5400,5400,6600,4400,14800,5400,5400,5400,5400,-45,0.79,3.83,40
citizenship by investment in the caribbean,6600,6600,8100,18100,5400,3600,1900,1300,8100,14800,1000,1000,1600,-76,0.12,2.22,28
citizenship by investment in europe,4400,3600,3600,2900,2400,2400,2900,1900,27100,4400,1900,1900,1900,-47,0.43,2.99,40
citizenship by investment in grenada,4400,3600,3600,2900,5400,2900,2900,2400,9900,9900,2400,3600,5400,50,0.22,4.61,34
citizenship by investment antigua and barbuda,3600,4400,2900,2400,1900,2400,2400,2900,2900,2400,4400,5400,6600,50,0.76,6.02,6
citizenship by investment in portugal,3600,6600,5400,3600,3600,3600,3600,3600,4400,3600,3600,2900,2900,-56,0.91,4.07,33
citizenship by investment in turkey,3600,3600,4400,3600,3600,3600,4400,3600,4400,4400,2900,2900,2900,-19,1.05,41.80,24
how to get citizenship by investment,2900,590,590,3600,1000,2400,590,1300,14800,8100,720,1900,1300,120,0.06,0.33,20
citizenship by investment in spain,2400,1900,2900,2400,3600,3600,5400,880,1900,1000,1000,1000,1300,-32,0.25,2.19,23
citizenship by investment us,1300,1600,1600,1300,1300,1300,1300,880,1300,880,1000,1000,1000,-38,0.81,10.81,30
citizenship by investment in new zealand,1300,1600,1600,1000,1300,1300,1600,1000,1600,1000,1000,1000,1000,-38,1.24,2.76,17
citizenship by investment in usa,1300,1600,1600,1300,1300,1300,1300,880,1300,880,1000,1000,1000,-38,0.75,9.98,30
citizenship by investment united states,1300,1600,1600,1300,1300,1300,1300,880,1300,880,1000,1000,1000,-38,0.75,9.98,30
