Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
citizenship by investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.38,2.73,36
how to get citizenship by investment,2900,590,590,3600,1000,2400,590,1300,14800,8100,720,1900,1300,120,0.06,0.33,20
which countries offer citizenship by investment,480,390,390,320,390,320,390,260,1300,880,390,320,390,0,0.33,2.34,36
which countries give citizenship by investment,320,480,170,320,260,260,170,170,480,260,210,260,880,83,0.08,1.04,28
which country give citizenship by investment,320,480,170,320,260,260,170,170,480,260,210,260,880,83,0.08,1.04,28
what is citizenship by investment,170,170,140,140,140,320,210,140,170,110,140,110,140,-18,0.16,2.16,10
how to get new zealand citizenship by investment,140,70,70,90,110,140,210,140,210,140,140,90,90,29,0.94,5.27,24
what countries offer citizenship by investment,140,170,140,110,70,110,170,90,110,320,140,140,140,-18,0.53,2.53,45
how to get malaysian citizenship by investment,70,70,70,90,110,90,90,50,50,70,90,70,70,0,0.32,3.38,24
how to get singapore citizenship by investment,70,110,110,90,50,90,90,70,50,50,50,50,50,-55,0.00,0.00,5
which european countries offer citizenship by investment,70,90,90,70,70,70,70,50,70,70,90,90,110,22,0.42,2.98,38
which european country gives citizenship by investment,70,90,70,50,70,70,90,50,50,50,70,70,90,0,0.35,2.59,36
what is the cheapest citizenship by investment,50,90,70,40,30,40,40,30,50,40,50,40,30,-67,0.33,2.51,29
which countries have citizenship by investment,50,70,70,70,70,70,70,40,50,40,70,40,50,-29,0.35,1.73,33
can i get uk citizenship by investment,40,50,50,40,50,40,50,30,30,30,50,50,40,-20,0.00,0.00,4
can i get us citizenship by investment,40,50,50,40,40,50,30,30,30,20,40,50,40,-20,0.74,13.04,26
does canada have citizenship by investment,40,20,30,20,10,30,90,90,40,20,30,30,30,50,0.10,3.16,17
what countries have citizenship by investment,40,40,50,40,40,30,50,30,30,20,70,30,40,0,0.17,2.70,32
which eu countries offer citizenship by investment,30,30,30,40,30,30,50,30,20,20,20,30,40,33,0.50,2.53,37
can i get australian citizenship by investment,20,30,30,10,10,20,30,20,20,20,20,30,30,0,0.00,0.00,11
can i get new zealand citizenship by investment,20,20,10,10,20,20,20,20,20,20,10,20,30,50,0.00,0.00,7
can i get romanian citizenship by investment,20,0,0,0,0,0,30,30,30,40,20,20,40,33,1.25,3.48,42
can i get swiss citizenship by investment,20,30,30,20,20,20,20,20,20,20,20,30,20,-33,0.43,1.62,15
can you get uae citizenship by investment,20,10,10,10,20,20,30,20,20,20,10,10,20,100,0.45,1.90,14
does barbados have citizenship by investment,20,20,10,10,20,30,20,10,10,10,20,20,10,-50,0.00,0.00,14
does malta offer citizenship by investment,20,30,10,10,20,10,30,20,20,20,20,20,10,-67,1.71,3.53,50
how does citizenship by investment work,20,10,20,30,20,10,20,10,20,10,10,20,10,0,0.54,5.41,22
how many countries offer citizenship by investment,20,10,30,10,10,20,20,10,10,10,10,20,30,200,0.35,1.66,25
how much is canadian citizenship by investment,20,20,20,30,20,70,30,10,20,20,10,20,20,0,0.36,3.81,29
how much is grenada citizenship by investment,20,0,0,0,0,10,20,30,10,20,20,40,20,100,0.94,6.23,46
how much is us citizenship by investment,20,20,10,20,20,20,20,10,20,10,10,20,20,0,1.62,17.13,45
which caribbean countries offer citizenship by investment,20,50,10,20,20,20,20,20,10,10,10,20,20,-60,0.45,4.27,47
which country can i get citizenship by investment,20,30,10,20,20,30,20,20,20,10,20,30,20,-33,0.82,2.46,32
which country gives citizenship easily by investment,20,20,10,20,30,40,30,20,20,20,20,20,30,50,1.19,4.13,26
which country has the cheapest citizenship by investment,20,20,20,20,30,10,20,10,20,10,20,10,10,-50,0.60,2.08,37
can i get malaysian citizenship by investment,10,0,0,0,0,0,20,10,10,20,20,10,10,-50,0.00,0.00,9
does italy have citizenship by investment,10,20,20,20,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,21
does singapore have citizenship by investment,10,10,10,10,20,10,10,10,20,20,10,20,10,0,0.00,0.00,1
does spain offer citizenship by investment,10,10,20,10,10,10,10,10,10,20,20,20,20,100,0.00,0.00,12
how much is citizenship by investment in canada,10,10,10,20,20,10,10,10,10,10,20,10,10,0,0.68,3.85,48
what caribbean countries offer citizenship by investment,10,40,10,20,10,10,10,10,10,10,10,10,10,-75,0.46,5.53,69
what does citizenship by investment mean,10,10,20,10,10,30,20,10,10,10,10,10,10,0,0.00,0.00,0
what is citizenship by investment program,10,10,20,10,10,40,20,10,10,10,10,10,20,100,0.00,0.00,14
where can i get citizenship by buying property,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.04,2.58,59
where can i get citizenship by investment,10,10,10,10,20,20,10,10,10,10,10,10,10,0,0.15,3.86,51
which european countries have citizenship by investment,10,20,10,10,20,10,20,10,10,10,10,10,10,-50,0.42,2.53,56
did citizenship,,,,,,,,,,,,,,,,,
did malta stop citizenship by investment,,,,,,,,,,,,,,,,,
does barbados do citizenship by investment,,,,,,,,,,,,,,,,,
does canada do citizenship by investment,,,,,,,,,,,,,,,,,
does ireland do citizenship by investment,,,,,,,,,,,,,,,,,
does italy do citizenship by investment,,,,,,,,,,,,,,,,,
does malta do citizenship by investment,,,,,,,,,,,,,,,,,
does malta have citizenship by investment,,,,,,,,,,,,,,,,,
does portugal have citizenship by investment,,,,,,,,,,,,,,,,,
does spain have citizenship by investment,,,,,,,,,,,,,,,,,
does switzerland have citizenship by investment,,,,,,,,,,,,,,,,,
does uk do citizenship by investment,,,,,,,,,,,,,,,,,
how long does citizenship by investment take,,,,,,,,,,,,,,,,,
how much does citizenship by investment cost,,,,,,,,,,,,,,,,,
how much does citizenship by investment cost in canada,,,,,,,,,,,,,,,,,
how much is citizenship by investment in australia,,,,,,,,,,,,,,,,,
how much is citizenship by investment in dominica,,,,,,,,,,,,,,,,,
how much is citizenship by investment in portugal,,,,,,,,,,,,,,,,,
how much is citizenship by investment in spain,,,,,,,,,,,,,,,,,
how much is citizenship by investment in turkey,,,,,,,,,,,,,,,,,
how much is citizenship by investment in uk,,,,,,,,,,,,,,,,,
how much is citizenship by investment in us,,,,,,,,,,,,,,,,,
is citizenship by investment a good idea,,,,,,,,,,,,,,,,,
is citizenship by investment worth it,,,,,,,,,,,,,,,,,
should citizenship be earned,,,,,,,,,,,,,,,,,
should citizenship be easier,,,,,,,,,,,,,,,,,
what eu countries offer citizenship by investment,,,,,,,,,,,,,,,,,
what european countries offer citizenship by investment,,,,,,,,,,,,,,,,,
what is a citizenship by investment program,,,,,,,,,,,,,,,,,
what is the cheapest country to get citizenship by investment,,,,,,,,,,,,,,,,,
what was malta citizenship by investment,,,,,,,,,,,,,,,,,
which citizenship by investment is best,,,,,,,,,,,,,,,,,
which countries offer citizenship by investment programs,,,,,,,,,,,,,,,,,
which country does citizenship by investment,,,,,,,,,,,,,,,,,
