Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
golden passport,22200,33100,22200,22200,18100,18100,18100,14800,18100,18100,18100,18100,18100,-45,0.24,3.74,32
golden visa eu,22200,22200,14800,18100,18100,9900,18100,14800,40500,49500,33100,27100,18100,-18,0.10,2.35,49
citizen by investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.41,2.95,36
citizenship through investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.41,2.95,36
citizenship via investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.41,2.95,36
by investment citizenship,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.41,2.95,36
immigration by investment,8100,3600,3600,3600,5400,6600,2900,5400,33100,27100,4400,4400,6600,83,0.11,3.09,25
immigration and investment,8100,3600,3600,3600,5400,6600,2900,5400,33100,27100,4400,4400,6600,83,0.11,3.09,25
caribbean citizenship by investment,6600,6600,8100,18100,5400,3600,1900,1300,8100,14800,1000,1000,1600,-76,0.12,2.22,28
golden visa program,5400,2900,2900,1900,2400,4400,2900,2900,12100,8100,3600,12100,5400,86,0.08,1.72,33
eu citizenship by investment,4400,3600,3600,2900,2400,2400,2900,1900,27100,4400,1900,1900,1900,-47,0.43,2.99,40
european citizenship by investment,4400,3600,3600,2900,2400,2400,2900,1900,27100,4400,1900,1900,1900,-47,0.43,2.99,40
citizenship by investment programs,4400,2900,5400,2900,1000,1300,1600,1300,18100,9900,1600,1300,1600,-45,0.13,3.00,10
european union citizenship by investment,4400,3600,3600,2900,2400,2400,2900,1900,27100,4400,1900,1900,1900,-47,0.43,2.99,40
turkish citizenship by investment,3600,3600,4400,3600,3600,3600,4400,3600,4400,4400,2900,2900,2900,-19,1.14,45.31,24
citizenship by investment countries,3600,4400,4400,3600,3600,3600,3600,2400,4400,4400,3600,3600,5400,23,0.11,1.95,42
citizen by investment countries,3600,4400,4400,3600,3600,3600,3600,2400,4400,4400,3600,3600,5400,23,0.11,1.95,42
investment citizenship countries,3600,4400,4400,3600,3600,3600,3600,2400,4400,4400,3600,3600,5400,23,0.11,1.95,42
citizenship investment countries,3600,4400,4400,3600,3600,3600,3600,2400,4400,4400,3600,3600,5400,23,0.11,1.95,42
countries with investment citizenship,3600,4400,4400,3600,3600,3600,3600,2400,4400,4400,3600,3600,5400,23,0.11,1.95,42
residency by investment,2400,2900,2900,2900,1600,1900,1600,1300,2400,4400,1900,2400,2900,0,0.18,2.82,22
spanish citizenship by investment,2400,1900,2900,2400,3600,3600,5400,880,1900,1000,1000,1000,1300,-32,0.25,2.19,23
turkish citizenship,1900,1900,1900,1900,1900,1900,1900,1600,1900,1900,1600,1900,1900,0,1.62,99.62,28
cheapest citizenship by investment,1900,2900,2900,2400,1900,1900,1900,1300,1600,1600,1300,1300,1300,-55,0.35,2.30,35
countries that offer citizenship by investment,1600,1000,880,720,590,590,590,480,12100,1000,480,720,880,-12,0.11,1.96,42
countries that offers citizenship by investment,1600,1000,880,720,590,590,590,480,12100,1000,480,720,880,-12,0.11,1.96,42
country offering citizenship by investment,1600,1000,880,720,590,590,590,480,12100,1000,480,720,880,-12,0.11,1.96,42
cheapest golden visa eu,1600,2900,1600,1600,2400,1900,880,720,1000,1000,1300,1300,1000,-66,0.35,2.25,45
passport by investment,1300,1300,1000,1000,1000,1300,1300,880,1300,1000,1300,1300,1600,23,0.25,2.67,51
citizenship by real estate investment,1300,720,390,390,320,260,480,720,480,8100,480,1900,2400,233,0.07,0.36,31
