Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
golden visa,49500,49500,74000,60500,49500,49500,49500,33100,60500,49500,40500,40500,27100,-45,0.38,3.84,30
eu golden visa,22200,22200,14800,18100,18100,9900,18100,14800,40500,49500,33100,27100,18100,-18,0.09,2.18,49
golden visa countries,5400,6600,6600,8100,3600,2900,3600,2400,4400,3600,4400,9900,12100,83,0.07,2.13,51
golden visa scheme,2900,210,390,8100,9900,4400,1000,210,1600,2400,2900,4400,1600,662,0.05,0.30,19
spanish citizenship by investment,2400,1900,2900,2400,3600,3600,5400,880,1900,1000,1000,1000,1300,-32,0.23,2.02,23
cheapest eu golden visa,1600,2900,1600,1600,2400,1900,880,720,1000,1000,1300,1300,1000,-66,0.32,2.08,45
cheapest golden visa eu,1600,2900,1600,1600,2400,1900,880,720,1000,1000,1300,1300,1000,-66,0.32,2.08,45
portuguese residency by investment,1300,1600,1900,1300,880,1000,1300,1000,1300,1000,1000,880,880,-45,0.57,4.44,38
best golden visa programs,1000,480,480,390,1600,1900,390,320,880,1000,1300,3600,1600,233,0.05,0.84,53
golden visa investment,1000,390,170,260,590,320,590,260,4400,2400,1900,210,140,-64,0.25,4.46,28
eu golden visa programs,1000,590,590,1000,1900,1000,480,390,1600,1900,880,1900,1600,171,0.08,1.69,57
golden visa cost,880,880,1600,1000,880,1000,1000,880,1300,480,720,480,720,-18,0.36,3.22,33
golden visa price,720,590,1600,1000,720,880,720,590,480,390,480,390,390,-34,0.50,2.88,25
golden visa meaning,720,880,1000,720,880,590,590,480,390,590,880,590,480,-45,0.17,1.66,6
portugal passport by investment,590,880,590,480,590,590,480,390,590,590,480,480,590,-33,0.49,4.08,48
portuguese passport by investment,590,880,590,480,590,590,480,390,590,590,480,480,590,-33,0.49,4.08,48
get golden visa,590,880,590,1900,480,480,390,320,590,590,390,720,480,-45,1.18,11.63,32
eu residency by investment,590,590,1000,480,390,480,480,390,480,480,590,480,590,0,0.48,3.35,31
european residency by investment,590,590,1000,480,390,480,480,390,480,480,590,480,590,0,0.48,3.35,31
countries with golden visa programs,590,260,320,260,170,170,260,210,170,390,1300,1900,1900,631,0.06,0.41,52
golden visa citizenship,590,720,1000,1600,2400,90,170,90,70,70,40,20,30,-96,0.22,5.00,46
cheapest golden visa,480,880,880,720,390,480,590,590,390,320,320,260,260,-70,0.50,3.79,32
cheapest golden visa countries,480,720,590,590,480,480,390,260,210,210,480,390,390,-46,0.10,1.96,34
spanish residency by investment,480,590,720,480,390,390,480,390,590,390,390,390,480,-19,0.30,2.31,34
portuguese golden visa cost,480,880,590,720,390,480,480,390,480,390,590,390,390,-56,0.48,3.50,41
portuguese citizenship by investment,390,720,720,480,390,390,390,320,390,320,390,260,390,-46,1.10,3.85,22
best golden visa,390,720,320,260,210,210,260,210,260,1900,140,140,170,-76,0.40,3.35,42
sef golden visa,390,20,20,720,2400,720,320,30,30,40,210,40,260,1200,0.11,2.60,29
golden visa european countries,390,320,260,260,170,140,260,260,480,880,1600,140,140,-56,0.30,2.57,59
golden visa for doctors,260,70,170,90,70,70,70,50,50,40,40,2400,50,-29,0.70,3.12,35
golden visa country list,260,110,70,90,90,140,210,110,140,170,210,480,1000,809,0.17,2.08,44
golden visa for entrepreneurs,260,50,110,20,20,40,30,10,20,40,1300,1000,70,40,0.15,2.01,48
golden visa for students,170,170,210,210,210,140,170,140,110,140,170,170,140,-18,0.67,1.68,37
european countries with golden visa,170,260,260,210,170,170,210,110,140,140,140,90,140,-46,0.40,3.31,49
10 year golden visa,170,320,260,320,210,210,260,210,140,90,90,140,110,-66,1.29,3.56,26
canadian investors visa,170,260,260,210,140,140,260,140,140,140,140,140,140,-46,0.41,2.31,34
the golden visa,140,210,320,140,110,170,140,90,90,70,110,90,70,-67,1.08,3.29,28
schengen golden visa,140,210,170,210,140,140,110,110,90,110,110,140,90,-57,0.48,3.30,42
russian golden visa,140,110,110,110,140,320,140,170,140,140,170,90,90,-18,0.83,2.25,9
eu golden visa countries,140,170,170,210,90,110,110,90,110,390,90,90,90,-47,0.32,3.24,57
russian golden visas,140,110,110,110,140,320,140,170,140,140,170,90,90,-18,0.83,2.25,9
best golden visa countries,110,170,110,110,110,110,90,70,70,260,40,70,90,-47,0.11,2.33,48
georgia golden visa,110,110,110,110,70,110,110,70,90,90,140,110,110,0,0.30,2.14,38
eu citizenship through investment,110,110,70,260,90,40,50,20,210,480,30,40,40,-64,0.47,2.80,49
golden visa reddit,110,110,170,140,110,110,170,110,110,110,90,110,70,-36,0.00,0.00,0
spanish golden visa program,90,390,210,70,40,30,50,50,50,30,30,20,20,-95,0.26,3.00,38
golden visa by investment,90,140,140,110,90,90,110,90,50,90,70,50,50,-64,0.38,4.19,47
best eu golden visa,90,140,140,110,90,70,110,70,90,70,70,90,70,-50,0.96,4.28,53
