Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
greece golden visa citizenship,8100,14800,5400,9900,5400,2900,2900,1000,18100,14800,590,2400,8100,-45,0.17,7.74,45
greece citizenship by investment,5400,1900,5400,5400,6600,3600,3600,1900,27100,9900,1300,1000,1600,-16,0.21,7.29,38
greece nationality,2400,2400,4400,4400,2900,1900,2400,2400,1900,1900,1900,1600,1600,-33,0.22,2.01,1
greek nationality by descent,1600,1900,2400,1600,1000,1000,1600,1600,1600,1600,1600,1900,2900,53,0.43,1.78,10
greece residency by investment,1000,590,880,590,590,590,720,590,1000,2400,1000,1000,1300,120,0.18,7.76,31
golden visa greece law,720,1600,880,390,170,1000,590,10,320,1000,50,210,2400,50,0.07,5.37,0
greece golden visa requirements,590,590,390,480,480,590,590,590,590,590,480,880,1300,120,0.55,5.70,64
greece citizenship law,480,1000,590,590,320,320,320,260,720,390,320,320,260,-74,1.22,6.50,12
greece nationality law,480,1000,590,590,320,320,320,260,720,390,320,320,260,-74,1.22,6.50,12
greek citizenship requirements,390,390,390,390,260,260,480,320,390,390,390,390,390,0,0.26,1.18,15
dual citizenship in greece,320,390,390,390,210,320,480,320,320,260,260,260,260,-33,0.61,2.20,19
greek citizenship marriage,320,390,320,260,260,260,320,260,260,320,210,260,320,-18,0.46,1.67,5
greek citizenship through marriage,320,390,320,260,260,260,320,260,260,320,210,260,320,-18,0.46,1.67,5
greek nationality by marriage,320,390,320,260,260,260,320,260,260,320,210,260,320,-18,0.46,1.67,5
becoming greek,170,170,170,140,140,140,210,170,170,210,140,260,320,88,0.00,0.00,0
obtain greek citizenship,170,210,210,170,140,140,170,140,170,110,140,140,140,-33,0.71,2.81,28
greece passport by investment,140,170,140,110,210,140,140,110,170,170,140,140,210,24,0.22,6.28,50
dual citizenship greece,110,170,140,140,110,110,140,90,110,110,110,110,90,-47,0.32,5.19,26
greece citizenship by descent,110,140,110,170,90,90,140,110,170,110,70,90,110,-21,0.31,1.23,18
greece golden passport,90,140,90,90,50,110,210,90,70,70,70,70,70,-50,1.20,7.50,52
greek citizenship application,90,90,90,90,70,70,90,70,90,90,50,70,90,0,0.78,1.75,24
become a citizen of greece,90,140,140,110,90,70,110,90,110,70,70,70,70,-50,0.45,1.46,23
greece citizenship for indian,90,40,50,70,110,110,110,70,90,110,110,90,110,175,0.37,0.72,20
greece visa requirements for filipino citizens,90,140,110,90,90,50,90,90,90,90,90,70,70,-50,0.06,0.53,9
greece permanent residency by investment,70,90,70,50,50,50,70,50,140,70,70,70,70,-22,1.03,20.18,40
golden passport greece,50,90,70,50,40,40,50,40,50,70,40,50,50,-44,0.70,9.01,56
greece citizenship by marriage,50,70,70,50,70,40,70,40,40,40,50,50,40,-43,0.00,0.00,2
greece naturalization,50,70,40,70,50,70,50,50,50,40,70,50,70,0,0.22,3.86,7
greek ancestry citizenship,50,50,110,90,50,50,40,40,40,50,40,40,40,-20,0.49,1.88,31
greek citizenship application form,50,140,50,40,50,30,50,50,40,30,40,20,50,-64,0.63,1.45,7
greek citizenship by naturalization,50,70,70,40,50,40,50,50,40,50,30,30,40,-43,0.00,0.00,2
greek naturalisation,50,70,40,70,50,70,50,50,50,40,70,50,70,0,0.22,3.86,7
dual citizenship greece usa,40,70,70,50,40,40,50,30,40,20,20,30,20,-71,0.00,0.00,11
greece citizenship by naturalization,40,50,40,50,40,50,40,40,30,30,30,30,20,-60,0.00,0.00,1
greece nationality requirements,40,40,50,50,50,40,50,40,30,40,30,40,50,25,0.23,1.48,19
greece residency by investment official website,30,40,30,20,30,30,40,30,30,40,40,20,30,-25,1.30,7.32,41
citizenship by descent greece,30,50,50,40,20,20,40,30,30,20,30,20,30,-40,0.25,1.25,34
get greece citizenship,30,20,10,20,110,30,30,20,20,20,30,30,10,-50,0.90,1.94,24
greece birthright citizenship,30,40,40,30,20,30,30,20,10,30,20,40,40,0,0.00,0.00,8
greek citizenship through descent,20,30,30,20,10,20,20,20,20,10,10,20,20,-33,0.62,1.62,25
greek citizenship through grandparent,20,20,30,10,20,10,40,30,20,20,20,20,20,0,0.38,1.33,18
if you are born in greece are you a citizen,20,20,20,30,20,20,30,20,20,30,20,20,40,100,0.00,0.00,3
nationality for greece,20,20,40,30,20,10,40,20,20,10,20,10,10,-50,0.00,0.00,0
us citizen to greece,20,20,20,10,10,10,20,20,20,10,10,40,10,-50,0.00,0.00,2
greece citizenship by investment 2022,10,0,0,10,0,0,0,0,10,0,0,0,0,0,0.00,0.00,0
permanent residency in greece by investment,10,10,20,10,10,10,10,10,10,20,10,10,10,0,0.00,0.00,14
buy greek citizenship,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.66,4.14,43
greece nationality by investment,10,10,10,10,10,10,10,10,10,10,10,10,10,0,2.00,3.65,61
residency in greece for non eu citizens,10,20,10,20,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,0
apply for dual citizenship greece,10,10,10,10,0,10,10,10,10,10,10,10,10,0,0.49,9.93,47
