Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
greece health,720,590,590,590,480,590,720,720,720,720,720,720,720,22,0.05,0.47,9
greece health care,720,880,1000,880,590,590,720,590,720,720,880,590,480,-45,1.28,4.96,9
health insurance greece,480,590,880,590,320,320,480,390,480,390,390,390,390,-34,2.69,18.61,69
medical insurance greece,480,590,880,590,320,320,480,390,480,390,390,390,390,-34,2.69,18.61,69
private medical insurance greece,320,170,260,320,260,210,390,480,390,320,320,320,210,24,0.53,1.51,15
greece health care system,320,390,480,390,260,260,260,320,260,390,320,260,260,-33,0.69,2.99,4
greece healthcare system,320,390,480,390,260,260,260,320,260,390,320,260,260,-33,0.69,2.99,4
private health insurance greece,210,260,260,210,140,140,210,210,260,210,210,260,320,23,2.86,19.47,25
private healthcare in greece,70,140,50,40,30,40,70,70,140,70,50,40,50,-64,0.00,0.00,3
greece health system,50,70,90,70,50,50,50,30,50,50,50,40,30,-57,0.00,0.00,5
health system greece,50,70,90,70,50,50,50,30,50,50,50,40,30,-57,0.00,0.00,5
expat health insurance greece,30,20,70,70,20,20,30,40,20,10,10,10,10,-50,5.03,19.47,81
private health insurance greece cost,30,50,30,40,20,40,40,20,20,30,20,10,20,-60,1.00,11.39,37
cost of private health insurance in greece,30,50,30,40,20,40,40,20,20,30,20,10,20,-60,1.00,11.39,37
best private health insurance greece,20,30,20,40,10,10,20,10,20,10,10,10,20,-33,2.79,19.47,66
healthcare in greece for expats,20,20,10,10,10,20,20,20,20,20,20,10,10,-50,0.00,0.00,12
greece free healthcare,20,20,20,20,20,10,10,20,10,10,10,30,20,0,0.00,0.00,0
greek national health system,20,20,20,20,20,10,20,20,20,20,20,10,10,-50,0.00,0.00,7
health insurance greece expats,10,10,10,10,10,10,10,10,10,10,10,10,10,0,8.84,37.08,79
average cost of private health insurance in greece,10,0,10,10,0,0,0,10,10,10,10,0,0,0,0.00,0.00,0
cost of healthcare in greece,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,19
healthcare in corfu,10,20,10,10,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,10
medical treatment in greece,10,10,10,10,10,10,0,10,0,10,10,10,10,0,0.00,0.00,31
zante emergency healthcare,10,10,10,10,0,10,10,10,10,0,10,10,10,0,0.00,0.00,26
greece healthcare system 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
healthcare in greece 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
