Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
health insurance portugal,1000,1300,1900,1300,1000,1000,1000,1000,1300,880,880,720,720,-45,2.87,17.89,62
medical insurance portugal,1000,1300,1900,1300,1000,1000,1000,1000,1300,880,880,720,720,-45,2.87,17.89,62
portuguese health insurance,1000,1300,1900,1300,1000,1000,1000,1000,1300,880,880,720,720,-45,2.87,17.89,62
private health insurance portugal,880,1000,1300,1300,880,720,880,720,1000,880,880,880,1000,0,3.09,18.25,15
private medical insurance portugal,880,1000,1300,1300,880,720,880,720,1000,880,880,880,1000,0,3.09,18.25,15
portuguese health care,590,720,720,720,480,480,590,480,480,480,480,390,390,-46,0.83,6.84,11
health in portugal,480,390,390,480,480,480,480,390,480,480,480,390,480,23,0.00,0.00,1
portugal healthcare system,390,390,590,390,390,320,480,390,390,390,480,390,390,0,0.05,4.64,7
health care system in portugal,390,390,590,390,390,320,480,390,390,390,480,390,390,0,0.05,4.64,7
health insurance in portugal for foreigners,140,210,260,260,170,140,140,110,110,90,90,90,110,-48,2.94,17.31,44
allianz health insurance portugal,140,140,170,210,170,170,140,140,140,90,110,90,70,-50,1.53,18.47,60
expat health insurance portugal,140,210,320,210,110,70,110,90,170,110,90,90,210,0,4.10,20.48,18
health care in portugal for expats,140,170,170,170,110,90,170,170,170,110,90,90,110,-35,4.35,10.11,36
healthcare in portugal for expats,140,170,170,170,110,90,170,170,170,110,90,90,110,-35,4.35,10.11,36
portugal healthcare for tourists,140,210,210,140,140,90,140,140,140,90,110,110,140,-33,1.86,10.42,40
expat medical insurance portugal,140,210,320,210,110,70,110,90,170,110,90,90,210,0,4.10,20.48,18
portugal healthcare expats,140,170,170,170,110,90,170,170,170,110,90,90,110,-35,4.35,10.11,36
private healthcare in portugal,110,170,70,90,110,90,90,90,140,140,90,110,70,-59,3.34,16.97,7
medical care in portugal,110,110,110,110,90,70,90,90,110,90,110,90,110,0,0.66,4.61,22
future healthcare portugal,110,90,110,110,110,90,110,110,140,110,110,140,90,0,1.23,8.66,52
portugal medical,110,140,110,110,110,110,110,140,140,110,110,140,140,0,0.64,3.40,5
best health insurance portugal,90,110,140,110,110,70,110,70,90,90,70,70,50,-55,2.61,18.47,71
multicare health insurance portugal,90,70,70,110,90,70,110,90,110,90,110,110,110,57,2.54,10.61,45
portuguese healthcare system,70,90,110,90,70,70,40,40,50,70,90,90,70,-22,0.07,6.67,11
portuguese health system,70,70,70,70,90,50,50,50,70,50,50,40,70,0,0.04,4.72,8
portugal medical system,70,110,90,50,50,70,50,40,70,50,50,50,70,-36,0.01,4.61,7
portugal health system,70,70,70,70,90,50,50,50,70,50,50,40,70,0,0.04,4.72,8
best private health insurance in portugal,50,70,90,70,30,40,70,50,50,30,20,40,20,-71,2.39,18.47,62
cost of private health insurance in portugal,50,50,90,110,40,20,30,30,50,20,30,30,50,0,1.91,17.03,19
cost of health insurance for expats in portugal,40,90,90,70,30,40,50,30,20,30,10,10,10,-89,3.56,16.99,53
private health insurance portugal cost,40,70,70,70,30,20,30,30,30,20,20,20,20,-71,3.90,17.04,46
