Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
malta citizenship by investment,6600,9900,8100,6600,5400,5400,6600,4400,14800,5400,5400,5400,5400,-45,0.73,3.54,40
malta passport,6600,8100,6600,6600,5400,6600,6600,6600,6600,6600,6600,6600,6600,-19,0.52,3.33,10
malta nationality by investment,6600,9900,8100,6600,5400,5400,6600,4400,14800,5400,5400,5400,5400,-45,0.73,3.54,40
malta citizenship,3600,5400,4400,3600,3600,3600,4400,3600,3600,2900,3600,2900,2900,-46,0.50,3.75,39
maltese passport,1900,2400,1600,1900,1900,1600,1600,1600,1600,1900,1600,2400,1900,-21,0.77,3.27,16
investment malta,1300,1300,1000,590,880,9900,480,320,390,260,260,260,210,-84,0.91,4.01,28
malta residency by investment,1000,1300,1300,1000,1000,1000,1300,880,1000,880,1000,1000,880,-32,0.59,4.99,52
malta passport by investment,1000,1300,1000,1000,880,880,1000,720,720,880,880,1000,2400,85,0.17,2.36,41
residency by investment malta,1000,1300,1300,1000,1000,1000,1300,880,1000,880,1000,1000,880,-32,0.59,4.99,52
maltese nationality,1000,1300,1300,1600,1000,1000,1300,1000,1000,1000,880,880,880,-32,0.37,2.10,2
maltese nationality law,1000,1300,1300,1600,1000,1000,1300,1000,1000,1000,880,880,880,-32,0.37,2.10,2
malta citizens,720,880,880,880,720,590,720,590,720,590,720,590,720,-18,1.03,2.79,9
nationality malta,720,880,880,880,720,590,720,590,720,590,720,590,720,-18,1.03,2.79,9
malta citizenship requirements,590,720,590,590,590,590,720,480,590,480,590,590,480,-33,0.70,3.48,39
golden passport malta,390,590,590,480,390,320,590,320,320,320,390,260,260,-56,0.80,4.53,37
malta passport program,390,880,880,880,880,880,590,70,70,30,40,40,20,-98,0.30,2.48,53
malta citizenship by naturalization,320,590,390,320,320,260,260,260,210,260,260,260,260,-56,0.67,3.20,13
malta citizenship by descent,320,320,170,260,210,90,140,260,140,170,320,1000,720,125,1.44,4.00,1
malta citizenship naturalization,320,590,390,320,320,260,260,260,210,260,260,260,260,-56,0.67,3.20,13
