Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
nhr portugal,1300,1900,1900,1900,1300,1300,1600,1300,1600,1000,1000,880,880,-54,0.47,13.18,19
nhr in portugal,1300,1900,1900,1900,1300,1300,1600,1300,1600,1000,1000,880,880,-54,0.47,13.18,19
portuguese nhr,1300,1900,1900,1900,1300,1300,1600,1300,1600,1000,1000,880,880,-54,0.47,13.18,19
portugal non habitual residency,320,590,720,480,320,210,260,260,390,260,260,170,140,-76,0.56,9.19,18
portugal tax residency,170,260,320,170,170,140,210,170,170,170,170,140,140,-46,0.45,2.61,21
tax resident in portugal,170,260,320,170,170,140,210,170,170,170,170,140,140,-46,0.45,2.61,21
nhr status portugal,140,170,170,170,170,140,140,140,170,140,140,110,90,-47,1.25,19.78,13
nhr tax portugal,140,170,170,140,90,70,90,170,480,90,140,50,50,-71,0.25,15.60,11
nhr portugal tax,140,170,170,140,90,70,90,170,480,90,140,50,50,-71,0.25,15.60,11
portugal nhr tax,140,170,170,140,90,70,90,170,480,90,140,50,50,-71,0.25,15.60,11
portugal nhr program,90,140,110,70,90,50,90,110,110,90,70,50,50,-64,0.95,12.15,30
portugal non resident tax,70,50,390,50,40,30,50,40,30,30,30,40,30,-40,0.82,17.92,12
nhr regime portugal,50,70,70,50,70,50,50,50,50,50,30,40,30,-57,2.87,48.00,23
nhr scheme portugal,50,90,70,50,70,50,50,50,70,40,50,50,30,-67,1.42,19.34,32
portugal nhr scheme,50,90,70,50,70,50,50,50,70,40,50,50,30,-67,1.42,19.34,32
portugal non habitual resident tax,30,40,50,20,20,40,50,40,30,20,10,10,10,-75,0.02,3.01,33
nhr program portugal,30,50,40,40,20,30,40,40,40,40,30,30,10,-80,2.55,7.12,26
capital gains tax in portugal for non residents,30,40,40,30,20,20,20,20,20,40,30,40,30,-25,0.01,0.84,17
nhr programme portugal,30,50,40,40,20,30,40,40,40,40,30,30,10,-80,2.55,7.12,26
portugal nhr regime,30,40,50,30,20,20,30,30,50,30,30,40,20,-50,0.42,12.42,17
non habitual tax resident portugal,20,30,40,40,30,20,20,20,10,10,10,10,10,-67,0.00,0.00,20
nhr visa portugal,20,20,20,30,20,10,20,20,20,20,10,10,10,-50,0.00,0.00,23
capital gains tax portugal non residents,20,20,30,50,30,20,30,20,10,20,10,20,20,0,0.25,1.87,16
portugal non habitual resident tax regime,20,20,40,20,10,20,10,10,20,10,10,10,10,-50,0.10,6.36,31
portugal tax regime,20,20,30,20,10,20,20,20,20,20,10,10,10,-50,0.00,0.00,0
portugal tax resident,20,40,20,20,20,20,20,10,10,10,10,10,10,-75,0.00,0.00,29
nhr portugal 2022,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0.00,0.00,6
nhr portugal 2023,10,30,10,10,10,10,10,10,10,10,10,10,10,-67,0.00,0.00,36
non habitual resident portugal 2022,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0.00,0.00,0
apply for nhr portugal,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
nhr portugal list of professions,10,30,10,10,10,10,10,10,10,10,10,10,10,-67,0.00,0.00,8
nhr application portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
capital gains tax portugal non habitual resident,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0.00,0.00,0
non habitual residency scheme portugal,10,10,10,10,10,10,10,0,10,0,0,0,0,0,0.00,0.00,0
nhr tax regime portugal,10,10,10,10,20,10,10,10,10,10,10,10,10,0,0.00,0.00,10
nhr status portugal 2022,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0.00,0.00,0
nhr portugal official website,10,50,20,20,10,10,10,10,10,10,10,10,10,-80,0.00,0.00,0
nhr portugal requirements,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0.00,0.00,43
non habitual resident tax regime in portugal,10,10,10,10,10,10,10,10,0,10,10,10,0,0,0.00,0.00,0
portugal nhr tax rates,10,10,10,10,10,10,0,10,0,10,0,10,10,0,0.00,0.00,0
applying for nhr in portugal,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
portugal non dom tax regime,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,16
