Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
portugal golden visa investment fund,880,1000,1000,1600,1900,480,390,590,720,320,880,1300,390,-61,0.20,3.14,6
etfs portugal,880,720,880,1000,880,1600,1300,1000,720,720,590,590,590,-18,0.52,4.77,30
portugal golden visa funds,390,260,210,480,2400,140,170,170,390,170,110,90,140,-46,0.86,5.63,13
portugal golden visa investment fund list,140,170,90,320,260,260,260,70,70,40,30,30,30,-82,1.91,5.64,51
golden visa portugal investment fund,70,20,20,210,210,110,110,40,110,10,20,10,10,-50,0.00,0.00,11
portugal golden visa qualified investment fund,70,10,10,260,210,110,90,20,10,10,10,10,20,100,0.00,0.00,5
portugal investment fund golden visa,40,90,50,40,10,20,20,40,90,30,30,30,30,-67,0.23,3.98,7
portugal golden visa fund investment,40,30,20,30,20,140,110,40,20,10,10,10,10,-67,0.00,0.00,0
portugal gateway fund,20,10,10,90,20,30,20,10,10,10,10,10,10,0,0.00,0.00,4
golden visa investment fund portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
portugal golden visa investment fund options,10,30,10,10,10,30,10,10,10,10,10,10,10,-67,0.00,0.00,0
investment fund portugal golden visa,10,10,10,10,0,0,0,0,10,10,10,0,10,0,0.00,0.00,43
mutual funds portugal,10,30,30,20,10,10,10,10,10,10,10,10,10,-67,0.99,5.40,67
investment funds portugal,10,10,10,40,10,10,10,10,10,10,10,10,10,0,0.00,0.00,31
golden visa investment funds in portugal,10,20,10,10,10,10,10,20,50,10,20,10,30,50,0.00,0.00,4
portugal yield fund,10,10,10,0,0,10,10,10,10,10,10,10,0,0,0.00,0.00,0
private equity funds portugal,10,10,10,10,10,20,10,10,10,10,10,0,10,0,0.00,0.00,29
real estate funds portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,29
real estate investment funds portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,7
sif investment fund portugal,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0.00,0.00,0
vanguard funds portugal,10,10,10,0,10,0,10,0,10,0,0,10,10,0,0.00,0.00,14
