Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
portugal citizenship,12100,12100,14800,22200,14800,12100,12100,8100,9900,18100,14800,9900,9900,-18,0.79,2.88,16
portuguese nationality,12100,12100,14800,22200,14800,12100,12100,8100,9900,18100,14800,9900,9900,-18,0.79,2.88,16
portuguese nationality law,12100,12100,14800,22200,14800,12100,12100,8100,9900,18100,14800,9900,9900,-18,0.79,2.88,16
portugal citizenship by investment,3600,6600,5400,3600,3600,3600,3600,3600,4400,3600,3600,2900,2900,-56,0.98,4.42,33
citizenship in portugal by investment,3600,6600,5400,3600,3600,3600,3600,3600,4400,3600,3600,2900,2900,-56,0.98,4.42,33
citizenship portugal investment,3600,6600,5400,3600,3600,3600,3600,3600,4400,3600,3600,2900,2900,-56,0.98,4.42,33
portuguese citizenship investment,3600,6600,5400,3600,3600,3600,3600,3600,4400,3600,3600,2900,2900,-56,0.98,4.42,33
portugal nationality law,2900,590,880,5400,3600,4400,1600,1300,1600,6600,9900,1300,1000,69,0.11,1.44,2
portugal nationality,2400,1900,3600,4400,2900,2400,1900,1600,1900,2400,2900,2400,1900,0,0.48,2.38,7
portuguese residence,1600,1600,1600,2400,1600,1300,1600,1300,1600,1900,1600,1300,1600,0,0.52,2.43,24
portugal residency by investment,1300,1600,1900,1300,880,1000,1300,1000,1300,1000,1000,880,880,-45,0.62,4.80,38
portugal citizenship requirements,1300,1600,1600,1900,1300,1000,1600,1300,1300,1300,1300,1000,1000,-38,0.69,2.56,24
portugal residence by investment,1300,1600,1900,1300,880,1000,1300,1000,1300,1000,1000,880,880,-45,0.62,4.80,38
residency by investment portugal,1300,1600,1900,1300,880,1000,1300,1000,1300,1000,1000,880,880,-45,0.62,4.80,38
residence by investment portugal,1300,1600,1900,1300,880,1000,1300,1000,1300,1000,1000,880,880,-45,0.62,4.80,38
portugal passport for goan,1300,1300,1900,1000,1000,1000,1300,1000,1000,1000,1000,1000,1000,-23,0.53,3.66,2
portugal passport for goans,1300,1300,1900,1000,1000,1000,1300,1000,1000,1000,1000,1000,1000,-23,0.53,3.66,2
portugal investment visa,1000,1600,1300,1300,1000,1000,1000,720,880,720,880,720,880,-45,0.68,4.44,39
dual citizenship portugal,880,1000,1000,1000,720,720,1000,720,880,720,720,720,720,-28,1.46,4.04,37
