Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
golden visa,49500,49500,74000,60500,49500,49500,49500,33100,60500,49500,40500,40500,27100,-45,0.38,3.83,30
eu golden visa,22200,22200,14800,18100,18100,9900,18100,14800,40500,49500,33100,27100,18100,-18,0.09,2.17,49
citizenship by investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.38,2.72,36
citizenship through investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.38,2.72,36
citizenship via investment,14800,18100,18100,18100,12100,12100,12100,9900,27100,27100,9900,9900,12100,-33,0.38,2.72,36
golden visa countries,5400,6600,6600,8100,3600,2900,3600,2400,4400,3600,4400,9900,12100,83,0.07,2.13,51
golden visa program,5400,2900,2900,1900,2400,4400,2900,2900,12100,8100,3600,12100,5400,86,0.07,1.59,33
eu citizenship by investment,4400,3600,3600,2900,2400,2400,2900,1900,27100,4400,1900,1900,1900,-47,0.40,2.76,40
european citizenship by investment,4400,3600,3600,2900,2400,2400,2900,1900,27100,4400,1900,1900,1900,-47,0.40,2.76,40
european union citizenship by investment,4400,3600,3600,2900,2400,2400,2900,1900,27100,4400,1900,1900,1900,-47,0.40,2.76,40
investment citizenship countries,3600,4400,4400,3600,3600,3600,3600,2400,4400,4400,3600,3600,5400,23,0.10,1.80,42
countries with investment citizenship,3600,4400,4400,3600,3600,3600,3600,2400,4400,4400,3600,3600,5400,23,0.10,1.80,42
golden visa schemes,2900,210,390,8100,9900,4400,1000,210,1600,2400,2900,4400,1600,662,0.05,0.30,19
spanish citizenship by investment,2400,1900,2900,2400,3600,3600,5400,880,1900,1000,1000,1000,1300,-32,0.23,2.02,23
investment residence,2400,2900,2900,2900,1600,1900,1600,1300,2400,4400,1900,2400,2900,0,0.16,2.61,22
citizenship by investment cheapest,1900,2900,2900,2400,1900,1900,1900,1300,1600,1600,1300,1300,1300,-55,0.32,2.13,35
cheapest eu golden visa,1600,2900,1600,1600,2400,1900,880,720,1000,1000,1300,1300,1000,-66,0.32,2.07,45
residence investment,1600,590,1000,720,1000,2400,720,590,12100,1300,590,480,390,-34,0.60,10.37,10
cheapest golden visa eu,1600,2900,1600,1600,2400,1900,880,720,1000,1000,1300,1300,1000,-66,0.32,2.07,45
passport by investment,1300,1300,1000,1000,1000,1300,1300,880,1300,1000,1300,1300,1600,23,0.23,2.46,51
citizenship by real estate investment,1300,720,390,390,320,260,480,720,480,8100,480,1900,2400,233,0.06,0.34,31
american citizenship by investment,1300,1600,1600,1300,1300,1300,1300,880,1300,880,1000,1000,1000,-38,0.75,9.98,30
portuguese residency by investment,1300,1600,1900,1300,880,1000,1300,1000,1300,1000,1000,880,880,-45,0.57,4.43,38
best golden visa programs,1000,480,480,390,1600,1900,390,320,880,1000,1300,3600,1600,233,0.05,0.83,53
swiss citizenship by investment,1000,1600,1300,1300,1000,1300,1000,880,880,880,880,880,720,-55,0.30,2.55,10
golden visa investment,1000,390,170,260,590,320,590,260,4400,2400,1900,210,140,-64,0.25,4.45,28
eu golden visa programs,1000,590,590,1000,1900,1000,480,390,1600,1900,880,1900,1600,171,0.08,1.69,57
british citizenship by investment,1000,1600,1600,1300,1300,1300,1300,880,1000,880,880,1000,880,-45,0.43,2.65,8
canadian citizen by investment,1000,1300,1000,880,880,880,1000,1000,1000,1000,1000,720,720,-45,0.38,2.73,20
investment green card usa,880,1300,1300,880,880,1000,880,720,880,880,880,880,1000,-23,0.88,8.77,36
best citizenship by investment,880,480,480,390,320,390,390,320,5400,590,480,480,720,50,0.07,1.72,38
residency by investment countries,880,1300,720,720,590,590,720,480,590,2900,720,880,880,-32,0.18,2.23,41
residence by investment countries,880,1300,720,720,590,590,720,480,590,2900,720,880,880,-32,0.18,2.23,41
irish citizenship by investment,880,1300,1600,1000,880,880,1000,720,880,720,720,590,590,-55,0.81,4.23,16
golden visa cost,880,880,1600,1000,880,1000,1000,880,1300,480,720,480,720,-18,0.36,3.21,33
golden citizenship,720,880,880,720,720,720,1000,720,720,720,720,590,720,-18,0.52,3.22,87
golden visa price,720,590,1600,1000,720,880,720,590,480,390,480,390,390,-34,0.50,2.87,25
canadian permanent residency by investment,720,880,1000,720,720,720,720,480,480,590,590,590,720,-18,0.29,1.90,22
canadian pr with investment,720,880,1000,720,720,720,720,480,480,590,590,590,720,-18,0.29,1.90,22
portugal passport by investment,590,880,590,480,590,590,480,390,590,590,480,480,590,-33,0.49,4.07,48
turkish passport by investment,590,590,720,390,590,480,390,390,480,480,720,590,590,0,1.06,42.46,53
portuguese passport by investment,590,880,590,480,590,590,480,390,590,590,480,480,590,-33,0.49,4.07,48
get golden visa,590,880,590,1900,480,480,390,320,590,590,390,720,480,-45,1.17,11.60,32
eu residency by investment,590,590,1000,480,390,480,480,390,480,480,590,480,590,0,0.48,3.34,31
european residency by investment,590,590,1000,480,390,480,480,390,480,480,590,480,590,0,0.48,3.34,31
countries with golden visa programs,590,260,320,260,170,170,260,210,170,390,1300,1900,1900,631,0.06,0.41,52
golden visa citizenship,590,720,1000,1600,2400,90,170,90,70,70,40,20,30,-96,0.22,4.99,46
eu residence by investment,590,590,1000,480,390,480,480,390,480,480,590,480,590,0,0.48,3.34,31
residency by investment programs,590,590,720,590,390,2400,720,210,210,260,320,210,260,-56,1.07,5.55,12
australian permanent residency by investment,590,720,590,590,590,590,590,480,480,480,480,480,480,-33,0.22,2.37,14
canadian citizenship by investment,480,590,720,480,480,480,590,390,390,480,390,390,390,-34,0.54,3.03,21
cheapest golden visa,480,880,880,720,390,480,590,590,390,320,320,260,260,-70,0.50,3.78,32
cheapest golden visa countries,480,720,590,590,480,480,390,260,210,210,480,390,390,-46,0.10,1.95,34
spanish residency by investment,480,590,720,480,390,390,480,390,590,390,390,390,480,-19,0.30,2.31,34
residency by real estate investment,480,390,170,390,390,390,320,260,210,1300,480,390,1000,156,0.06,0.84,30
portuguese golden visa cost,480,880,590,720,390,480,480,390,480,390,590,390,390,-56,0.48,3.49,41
canadian investment citizenship,480,590,720,480,480,480,590,390,390,480,390,390,390,-34,0.54,3.03,21
costa rican citizenship by investment,480,590,590,590,390,390,590,390,480,390,390,390,320,-46,0.30,3.57,17
eu investment visa,480,720,880,590,480,480,590,390,390,390,480,480,480,-33,0.28,3.41,34
european investment visa,480,720,880,590,480,480,590,390,390,390,480,480,480,-33,0.28,3.41,34
portuguese citizenship by investment,390,720,720,480,390,390,390,320,390,320,390,260,390,-46,1.10,3.84,22
best golden visa,390,720,320,260,210,210,260,210,260,1900,140,140,170,-76,0.40,3.34,42
canadian residency by investment,390,480,880,390,320,390,480,320,320,390,320,260,260,-46,0.34,2.13,25
golden visa european countries,390,320,260,260,170,140,260,260,480,880,1600,140,140,-56,0.30,2.56,59
us green card through investment,320,390,480,260,260,260,320,210,320,210,260,210,260,-33,1.07,6.60,28
mexican citizenship by investment,320,480,320,260,260,320,390,260,260,320,390,320,390,-19,0.30,3.13,16
slovenian passport by investment,320,390,390,720,480,720,390,210,170,170,140,110,90,-77,0.96,3.27,59
estonian citizenship by investment,320,720,480,390,320,320,320,210,210,170,260,210,260,-64,0.30,2.69,16
real estate investment visa,320,70,140,390,110,140,110,90,110,110,50,50,1900,2614,0.06,0.45,25
2nd passport by investment,260,320,260,320,320,260,260,210,390,320,260,210,210,-34,0.54,4.49,56
permanent residency by investment,260,320,590,260,210,170,260,210,320,260,210,170,140,-56,1.10,6.63,35
citizenship by investment companies,260,210,210,390,260,260,480,140,210,320,70,390,320,52,0.08,0.93,42
cheapest residency by investment,210,320,260,260,260,210,210,170,170,170,140,210,110,-66,0.31,1.93,32
slovenian citizenship by investment,210,260,320,320,320,390,320,140,90,50,40,70,50,-81,0.97,2.15,50
german citizenship by investment,210,320,260,210,210,320,210,170,170,140,170,170,140,-56,0.40,2.12,19
irish residency by investment,210,260,480,210,170,210,260,140,170,140,140,110,140,-46,0.52,5.54,12
real estate golden visa,210,480,1000,390,140,70,70,40,50,50,30,50,110,-77,0.17,1.97,63
brazilian citizenship by investment,210,140,140,140,110,170,140,210,170,170,210,320,390,179,0.43,1.76,6
dutch citizenship by investment,210,320,260,210,210,210,210,170,210,170,210,210,170,-47,0.27,1.64,18
by investment,210,140,140,170,170,210,390,170,170,210,170,260,390,179,0.20,2.50,2
citizenship invest global leader in fast citizenship and residency programs,210,140,210,480,260,140,210,210,140,170,260,170,210,50,0.00,0.00,4
german citizenship investment,210,320,260,210,210,320,210,170,170,140,170,170,140,-56,0.40,2.12,19
pr by investment,170,210,260,170,170,170,170,140,140,170,170,210,170,-19,0.74,5.25,38
romanian passport by investment,170,260,90,110,90,110,140,170,260,320,260,210,210,-19,0.61,2.72,55
golden visa real estate,170,140,210,140,720,140,110,110,90,90,50,110,50,-64,0.91,5.51,41
european countries with golden visa,170,260,260,210,170,170,210,110,140,140,140,90,140,-46,0.40,3.30,49
russian citizenship by investment,170,210,210,140,170,260,260,170,170,170,140,140,90,-57,0.78,1.89,9
second passport programs,170,40,30,70,40,590,10,50,480,260,140,70,30,-25,0.24,1.61,34
buying permanent residency,170,170,210,260,260,170,210,140,170,170,140,110,170,0,0.89,3.84,2
bluemina citizenship & residency,140,170,140,210,90,110,140,110,140,210,140,170,140,-18,0.73,3.49,23
bulgarian citizenship by investment,140,210,140,110,110,140,170,110,110,140,90,110,170,-19,0.30,1.81,13
the golden visa,140,210,320,140,110,170,140,90,90,70,110,90,70,-67,1.08,3.28,28
schengen golden visa,140,210,170,210,140,140,110,110,90,110,110,140,90,-57,0.48,3.29,42
greek passport by investment,140,170,140,110,210,140,140,110,170,170,140,140,210,24,0.21,5.79,50
