Keywords,Search Volume (Average),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Trend,Top of Page Bid (Low Range) (USD),Top of Page Bid (High Range) (USD),Competition
nhr portugal,1300,1900,1900,1900,1300,1300,1600,1300,1600,1000,1000,880,880,-54,0.47,13.15,19
nhr in portugal,1300,1900,1900,1900,1300,1300,1600,1300,1600,1000,1000,880,880,-54,0.47,13.15,19
portuguese nhr,1300,1900,1900,1900,1300,1300,1600,1300,1600,1000,1000,880,880,-54,0.47,13.15,19
property taxes in portugal,590,720,1300,720,480,480,590,390,590,590,480,390,390,-46,0.01,1.22,6
portugal taxes for expats,480,590,720,590,590,390,590,480,590,480,480,390,480,-19,0.12,2.63,27
tax portugal expats,480,590,720,590,590,390,590,480,590,480,480,390,480,-19,0.12,2.63,27
taxes for expats in portugal,480,590,720,590,590,390,590,480,590,480,480,390,480,-19,0.12,2.63,27
non habitual resident portugal,320,590,720,480,320,210,260,260,390,260,260,170,140,-76,0.56,9.17,18
portugal non habitual residency,320,590,720,480,320,210,260,260,390,260,260,170,140,-76,0.56,9.17,18
nif portugal non resident,210,320,320,260,260,210,210,210,170,110,110,110,90,-72,1.02,5.02,31
portuguese tax residency,170,260,320,170,170,140,210,170,170,170,170,140,140,-46,0.45,2.60,21
tax resident in portugal,170,260,320,170,170,140,210,170,170,170,170,140,140,-46,0.45,2.60,21
nhr status portugal,140,170,170,170,170,140,140,140,170,140,140,110,90,-47,1.25,19.73,13
nhr tax portugal,140,170,170,140,90,70,90,170,480,90,140,50,50,-71,0.25,15.56,11
nhr portugal tax,140,170,170,140,90,70,90,170,480,90,140,50,50,-71,0.25,15.56,11
portugal nhr tax,140,170,170,140,90,70,90,170,480,90,140,50,50,-71,0.25,15.56,11
portugal tax free 10 years,110,260,210,140,110,90,70,210,50,50,50,50,40,-85,1.53,15.77,23
portugal nhr program,90,140,110,70,90,50,90,110,110,90,70,50,50,-64,0.95,12.13,30
portugal taxes for foreigners,90,210,170,140,90,70,90,70,70,70,50,40,40,-81,0.00,0.00,7
portugal tax for foreigners,90,210,170,140,90,70,90,70,70,70,50,40,40,-81,0.00,0.00,7
portugal tax rates for expats,90,90,90,90,90,90,110,90,90,50,70,50,70,-22,0.03,2.29,19
non resident tax portugal,70,50,390,50,40,30,50,40,30,30,30,40,30,-40,0.82,17.88,12
portugal non resident tax,70,50,390,50,40,30,50,40,30,30,30,40,30,-40,0.82,17.88,12
portugal exit tax,70,70,50,90,110,50,50,50,30,50,50,50,70,0,0.00,0.00,1
nhr scheme portugal,50,90,70,50,70,50,50,50,70,40,50,50,30,-67,1.41,19.29,32
portugal nhr scheme,50,90,70,50,70,50,50,50,70,40,50,50,30,-67,1.41,19.29,32
property taxes in portugal for foreigners,50,90,90,70,50,30,50,20,20,30,40,30,30,-67,0.02,1.72,20
portugal tax foreign income,50,90,70,70,40,70,50,70,50,50,50,40,50,-44,0.00,0.00,4
council tax portugal,40,70,40,40,40,40,30,40,70,50,50,30,30,-57,0.00,0.00,5
portugal retirement tax,40,30,140,40,20,20,30,30,20,30,20,10,20,-33,0.06,1.77,28
portugal tax residency rules,40,50,70,50,30,30,40,40,40,40,30,40,30,-40,0.26,1.41,12
portugal non habitual resident tax,30,40,50,20,20,40,50,40,30,20,10,10,10,-75,0.02,3.01,33
nhr program portugal,30,50,40,40,20,30,40,40,40,40,30,30,10,-80,2.54,7.10,26
taxation in portugal for expats,30,30,40,30,20,20,30,30,30,30,20,30,20,-33,0.69,4.14,16
portugal d7 visa taxes,30,40,50,40,30,30,30,40,30,20,40,20,20,-50,0.64,2.70,28
capital gains tax in portugal for non residents,30,40,40,30,20,20,20,20,20,40,30,40,30,-25,0.01,0.84,17
inheritance tax portugal non residents,30,70,40,30,30,30,30,30,30,20,20,10,20,-71,0.03,1.05,17
nhr programme portugal,30,50,40,40,20,30,40,40,40,40,30,30,10,-80,2.54,7.10,26
portuguese tax for expats,30,30,40,30,20,20,30,30,30,30,20,30,20,-33,0.69,4.14,16
non habitual tax resident portugal,20,30,40,40,30,20,20,20,10,10,10,10,10,-67,0.00,0.00,20
nhr visa portugal,20,20,20,30,20,10,20,20,20,20,10,10,10,-50,0.00,0.00,23
portugal income tax for expats,20,30,20,20,20,10,20,10,20,20,10,10,10,-67,0.00,0.00,14
income tax in portugal for foreigners,20,50,40,40,30,10,20,10,20,10,20,10,10,-80,0.00,0.00,6
capital gains tax portugal non residents,20,20,30,50,30,20,30,20,10,20,10,20,20,0,0.25,1.87,16
capital gains tax portugal property,20,30,30,20,10,10,10,10,20,20,40,10,10,-67,0.00,0.00,9
income tax in portugal for expats,20,20,10,20,30,20,20,10,20,30,20,10,10,-50,0.00,0.00,15
portugal foreign income tax,20,40,20,40,20,20,30,20,30,20,20,20,10,-75,0.00,0.00,6
portugal tax expats,20,10,20,20,20,20,10,10,20,20,10,10,10,0,1.15,3.98,25
portugal tax resident,20,40,20,20,20,20,20,10,10,10,10,10,10,-75,0.00,0.00,29
portugal taxes on foreign income,20,20,20,10,20,10,20,20,10,20,20,10,10,-50,0.00,0.00,16
us expat tax portugal,20,10,10,10,110,20,10,10,10,10,10,10,10,0,0.00,0.00,71
nhr portugal 2022,10,10,10,10,10,10,10,10,10,0,10,0,10,0,0.00,0.00,6
nhr portugal 2023,10,30,10,10,10,10,10,10,10,10,10,10,10,-67,0.00,0.00,36
non habitual resident portugal 2022,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0.00,0.00,0
apply for nhr portugal,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
portugal golden visa tax,10,30,20,20,20,20,10,10,10,10,10,10,10,-67,1.79,3.35,43
nhr application portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,0
capital gains tax portugal non habitual resident,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0.00,0.00,0
us expat taxes in portugal,10,20,10,10,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,21
nhr status portugal 2022,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0.00,0.00,0
portugal golden visa income tax,10,10,10,10,10,10,10,10,10,0,10,10,10,0,0.00,0.00,0
nhr portugal official website,10,50,20,20,10,10,10,10,10,10,10,10,10,-80,0.00,0.00,0
nhr portugal requirements,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0.00,0.00,43
portugal nhr tax rates,10,10,10,10,10,10,0,10,0,10,0,10,10,0,0.00,0.00,0
applying for nhr in portugal,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
portugal nhr requirements,10,10,10,10,10,10,10,10,10,0,10,0,0,0,0.00,0.00,0
tax residence portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,7
portugal non habitual resident program,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0.00,0.00,0
annual property taxes in portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,4
becoming tax resident in portugal,10,10,0,10,10,10,10,10,10,0,10,10,0,0,0.00,0.00,0
capital gains tax portugal residents,10,10,10,10,10,10,10,10,10,10,0,10,10,0,0.00,0.00,5
d7 visa portugal taxes,10,20,10,10,10,10,20,10,10,10,10,10,10,-50,0.00,0.00,29
dividend tax portugal nhr,10,10,10,0,10,0,10,10,10,10,10,0,0,0,0.00,0.00,0
foreign income tax portugal,10,10,10,10,10,10,10,10,10,10,0,10,10,0,0.00,0.00,3
habitual residence portugal,10,10,20,10,10,10,10,10,10,0,10,10,10,0,0.00,0.00,86
income tax portugal expat,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,86
nhr portugal 2021,10,0,10,0,0,10,10,0,0,10,0,10,0,0,0.00,0.00,0
nhr portugal application,10,10,10,10,10,0,10,0,0,0,10,0,0,0,0.00,0.00,0
nhr portugal capital gains,10,20,10,10,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,10
nhr portugal capital gains tax,10,10,10,10,10,10,10,10,10,10,0,10,10,0,0.00,0.00,0
nhr portugal for eu citizens,10,10,10,10,10,0,0,10,0,10,10,10,0,0,0.00,0.00,0
nhr portugal minimum stay,10,10,0,10,10,0,0,0,0,0,0,10,0,0,0.00,0.00,0
nhr portugal reddit,10,10,10,10,10,10,10,10,10,0,10,10,0,0,0.00,0.00,0
nhr portugal social security,10,10,0,0,0,0,10,10,10,10,0,0,10,0,0.00,0.00,86
nhr portugal tax rates on foreign sourced income,10,10,10,10,10,0,10,10,10,10,10,10,0,0,0.00,0.00,0
nhr program in portugal,10,0,10,10,10,10,10,0,10,10,0,10,10,0,0.00,0.00,0
nhr residency portugal,10,0,10,0,10,0,0,10,0,10,0,0,0,0,0.00,0.00,0
nhr status in portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,19
nhr tax scheme portugal,10,10,10,10,10,10,10,50,10,10,10,0,10,0,0.00,0.00,0
non dom portugal,10,20,10,10,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,4
non habitual resident portugal capital gains,10,0,10,0,0,10,0,0,10,10,0,10,0,0,0.00,0.00,0
non habitual resident portugal requirements,10,10,20,10,0,10,10,10,10,10,10,0,10,0,0.00,0.00,36
non habitual resident scheme portugal,10,10,10,10,10,10,20,0,10,10,10,10,10,0,0.00,0.00,36
non habitual resident status portugal,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1.10,9.14,49
non habitual resident visa portugal,10,10,10,10,10,10,10,10,0,10,10,0,0,0,0.00,0.00,0
non habitual tax portugal,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0.00,0.00,0
non habitual tax residency portugal,10,10,10,10,10,10,10,0,10,0,10,10,10,0,0.00,0.00,14
non resident portugal,10,20,10,10,10,10,10,10,10,10,10,10,10,-50,0.00,0.00,21
paying tax on rental income in portugal,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0.00,0.00,0
portugal d7 tax,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,7
portugal d7 taxes,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0.00,0.00,7
